id,reputation,num_badges,num_answers,num_questions,num_comments,num_accepted_answers,avg_ans_score,avg_ques_score,avg_comm_score,avg_accepted_ans_score,contributing_score
8543617,57,8,5,23,94,1,-0.2,0.26,0.06,0.0,0.09
639674,1274,24,58,3,97,29,1.28,0.0,0.39,1.59,0.84
2659928,40,10,2,9,5,1,0.0,0.22,0.0,0.0,0.12
2330048,63,6,1,1,2,1,0.0,12.0,0.5,0.0,2.6
214744,3610,23,4,1,4,1,83.5,7.0,0.0,0.0,34.1
1468628,1603,34,31,2,26,14,3.84,1.0,0.23,4.29,2.56
131356,466,8,2,1,3,1,16.0,0.0,3.67,30.0,10.43
1780849,637,15,11,2,4,1,4.36,1.5,0.0,27.0,4.33
214111,41,10,1,18,37,1,1.0,0.0,0.0,0.0,0.02
8175502,9,1,1,1,1,1,-1.0,0.0,0.0,0.0,-0.25
600756,245,8,18,1,7,5,0.67,0.0,0.14,1.8,0.71
246071,86,3,6,1,1,1,1.17,0.0,0.0,1.0,0.89
5702690,53,11,2,18,18,1,0.5,0.17,0.11,1.0,0.18
928591,5029,71,43,14,91,16,10.49,3.29,0.19,24.63,5.54
977478,1088,31,9,6,8,3,9.56,4.67,0.38,26.33,7.54
1559918,19,13,1,5,28,1,0.0,0.2,0.0,0.0,0.03
3180915,75,13,2,12,7,1,0.0,0.83,0.0,0.0,0.45
2069306,2390,62,46,52,103,11,3.63,1.19,0.28,1.27,1.28
362510,1019,47,13,35,68,3,1.54,3.91,0.24,2.67,1.52
2614364,16519,117,646,1,532,395,1.35,1.0,0.23,1.62,1.04
5052045,110,14,1,19,13,1,0.0,0.84,0.23,0.0,0.56
4036303,912,37,59,41,162,14,0.59,0.24,0.13,1.0,0.29
3718149,68,11,7,7,22,1,0.43,0.29,0.45,0.0,0.41
1774213,381,5,1,1,1,1,38.0,0.0,0.0,0.0,9.5
1341244,406,34,12,52,99,3,0.25,0.92,0.06,0.0,0.34
2039764,101,10,3,9,10,1,0.0,2.0,0.0,0.0,0.78
4508178,1167,24,67,1,86,32,0.84,0.0,0.17,1.16,0.58
203718,4276,42,71,6,35,30,4.52,13.17,0.14,4.1,3.72
1315523,127,14,6,13,55,5,0.5,1.08,0.02,0.4,0.25
887638,49,12,1,6,11,1,0.0,1.33,0.09,0.0,0.47
2578941,46,8,3,9,13,1,0.67,0.33,0.0,0.0,0.19
3707939,464,17,39,4,111,12,0.38,0.75,0.35,0.83,0.4
6220119,61,1,2,1,1,2,1.5,0.0,0.0,1.5,1.0
1930089,30,8,2,5,13,1,0.0,1.0,0.0,0.0,0.24
4545077,440,14,12,5,19,1,1.58,0.4,0.0,1.0,0.59
1024357,18,5,1,4,14,1,0.0,-0.5,0.0,0.0,-0.1
5865993,234,22,8,25,53,4,1.0,0.4,0.08,1.75,0.32
3404346,18,5,3,3,13,1,-1.0,0.67,0.0,0.0,-0.05
10642151,141,6,1,1,12,1,0.0,0.0,0.08,0.0,0.07
1483915,61,6,1,4,1,1,2.0,2.0,0.0,0.0,1.43
1022846,30,5,1,2,7,1,0.0,2.5,0.14,0.0,0.55
2776473,2102,31,88,9,148,34,1.39,1.0,0.12,2.47,0.84
5372734,101,11,6,14,36,2,0.33,0.93,0.06,0.5,0.31
703406,196,26,1,12,7,1,0.0,2.67,0.0,0.0,1.52
7340713,32,10,1,11,11,1,0.0,0.09,0.0,0.0,0.04
5081858,199,15,16,5,22,3,0.44,2.6,0.0,1.0,0.5
92319,1764,146,4,162,210,1,2.25,1.77,0.01,8.0,0.81
3275589,45,6,1,10,9,1,0.0,0.4,0.11,0.0,0.24
4776608,87,13,11,5,23,3,0.36,0.4,0.04,1.33,0.26
4975613,57,10,5,22,55,4,0.0,0.14,0.04,0.0,0.06
3894347,644,14,42,5,39,17,0.83,-0.2,0.13,1.24,0.58
610533,631,17,35,2,37,5,1.23,0.5,0.65,1.0,0.92
5697237,722,17,37,7,98,21,0.97,0.29,0.17,1.33,0.51
1488858,340,31,2,23,45,1,0.0,1.61,0.07,0.0,0.56
1814809,227,6,1,1,1,1,21.0,-1.0,0.0,0.0,5.0
1105455,134,14,3,22,23,1,0.0,1.0,0.09,0.0,0.49
30187,295,13,1,2,16,1,0.0,27.5,0.13,0.0,2.85
176258,1075,20,12,8,9,3,5.58,3.5,0.44,0.67,3.16
1393510,357,23,4,51,91,1,0.0,0.59,0.08,0.0,0.25
374909,17,2,1,3,1,1,0.0,0.67,0.0,0.0,0.33
314875,239,19,2,18,24,2,3.0,1.72,0.08,3.0,0.98
2501858,32,7,5,6,9,2,0.0,0.33,0.0,0.0,0.09
510250,86,11,1,7,2,1,0.0,2.43,0.0,0.0,1.55
3301006,48,10,6,11,16,2,0.0,-0.0,0.0,0.0,-0.0
1597668,578,28,1,11,13,1,0.0,10.09,0.08,0.0,4.31
4869321,213,18,5,33,63,5,1.2,0.64,0.03,1.2,0.33
4724,2319,62,18,30,68,7,4.39,8.73,0.22,10.0,3.46
1862317,58,11,1,6,8,1,0.0,1.33,0.0,0.0,0.5
2606557,397,27,6,13,42,1,0.33,2.77,0.05,0.0,0.65
129032,29907,193,688,41,2000,295,3.3,3.66,0.49,5.05,1.62
7384252,171,13,2,13,23,2,1.5,1.46,0.04,1.5,0.65
4592240,761,11,1,1,1,1,0.0,152.0,2.0,0.0,38.5
504356,4583,54,48,20,71,13,8.15,2.1,0.46,24.15,5.13
1249713,75,13,1,3,1,1,0.0,4.0,0.0,0.0,2.0
5192105,783,26,45,5,210,9,0.76,-2.2,0.14,2.0,0.26
1521162,129,13,12,8,29,1,0.75,0.13,0.03,1.0,0.24
3051547,29,7,1,4,16,1,0.0,1.25,0.0,0.0,0.23
9127924,20,7,1,4,2,1,0.0,0.75,0.0,0.0,0.38
2504554,381,14,7,4,14,1,2.43,3.25,0.14,0.0,1.23
3255221,235,6,17,1,6,4,0.35,0.0,0.0,0.0,0.21
6863585,41,8,1,17,63,1,0.0,0.24,0.0,0.0,0.05
5482039,23,7,1,6,6,1,0.0,0.67,0.0,0.0,0.29
8167931,506,13,8,6,12,2,1.5,6.0,0.17,5.0,2.14
3079174,51,9,1,7,8,1,0.0,0.29,0.0,0.0,0.12
295056,98,10,2,6,6,1,1.0,2.17,0.0,0.0,1.0
2024418,174,7,8,1,11,1,1.88,0.0,0.36,0.0,0.9
1450611,325,17,14,12,35,4,0.29,1.33,0.03,1.0,0.38
3147437,146,16,1,14,8,1,0.0,1.93,0.0,0.0,1.13
5137983,186,9,9,1,11,2,0.67,1.0,0.18,1.5,0.52
4833595,95,6,10,1,4,2,0.3,0.0,0.25,1.5,0.41
125562,9135,144,251,95,1107,54,1.58,8.37,0.27,3.13,1.1
675120,369,18,15,5,53,1,0.93,0.4,0.15,0.0,0.32
3295109,968,17,28,4,12,6,2.39,0.25,0.33,3.33,1.84
3301927,62,17,1,13,26,1,1.0,0.46,0.0,1.0,0.2
533297,10,5,1,2,1,1,0.0,0.5,0.0,0.0,0.2
1220212,588,14,5,2,5,1,11.2,1.5,0.4,0.0,4.69
3371760,581,15,18,7,53,6,1.61,2.0,0.13,2.0,0.74
2614459,1859,52,32,6,48,1,4.5,3.67,0.35,0.0,2.1
655373,127,19,1,9,8,1,0.0,2.33,0.0,0.0,1.11
2176139,68,3,9,1,2,3,-0.11,0.0,0.0,0.33,0.0
12562,655,15,9,1,2,3,5.11,9.0,0.0,9.67,5.6
192093,166,13,3,3,5,1,-0.33,9.33,0.6,1.0,2.58
5225876,138,7,8,4,9,1,1.0,2.0,0.22,2.0,0.91
958283,229,9,15,2,37,2,1.07,1.0,0.03,1.0,0.37
543783,574,17,12,1,6,1,3.17,0.0,0.67,1.0,2.15
2117765,127,12,1,8,19,1,0.0,0.13,0.0,0.0,0.03
1833314,3268,57,137,17,314,45,1.53,2.59,0.13,2.49,0.79
8488807,40,6,1,12,10,1,0.0,0.33,0.3,0.0,0.29
3014983,131,8,6,1,6,1,2.0,0.0,0.0,0.0,0.86
7160464,29,5,2,10,7,1,0.5,0.3,0.0,0.0,0.2
2872137,1354,27,47,3,110,26,1.6,2.33,0.16,2.0,0.82
627911,507,17,7,8,21,1,3.43,4.0,0.19,15.0,2.03
673952,189,19,12,7,13,1,1.0,1.43,0.0,2.0,0.73
7496611,19,8,1,3,1,1,1.0,0.0,0.0,1.0,0.33
570583,667,12,12,1,8,6,3.75,0.0,0.0,7.33,3.3
2602718,7727,63,239,3,955,92,2.02,2.33,0.63,2.68,1.03
2091706,29,11,1,11,12,1,0.0,-0.09,0.0,0.0,-0.04
162723,460,29,19,12,26,7,0.95,2.83,0.04,1.43,0.98
2912230,39,12,4,16,12,1,0.5,0.06,0.0,0.0,0.09
108374,3548,119,58,54,232,8,3.66,5.48,0.54,2.88,1.87
202254,382,8,4,2,3,4,5.25,1.0,0.33,5.25,3.46
3876382,668,17,22,2,153,5,0.91,0.5,0.12,1.4,0.25
3234810,154,12,2,31,56,2,0.0,0.35,0.04,0.0,0.14
989878,1640,60,47,35,152,12,1.81,3.2,0.43,1.33,1.13
1898594,1931,65,39,20,49,15,2.49,6.4,0.06,4.93,2.46
1534316,185,26,3,17,49,3,0.33,1.94,0.16,0.33,0.6
3012155,43,17,1,11,29,1,0.0,0.18,0.07,0.0,0.1
1634557,331,14,20,6,34,3,0.45,2.5,0.21,0.67,0.52
1717052,371,13,12,3,6,5,1.17,2.33,0.33,1.4,1.15
1438918,530,34,9,41,63,2,1.78,1.07,0.05,4.0,0.62
373670,1587,80,30,115,197,11,0.9,1.86,0.23,1.0,0.84
1684720,647,40,19,6,77,2,1.89,2.17,0.58,4.0,0.98
1178572,1852,45,81,19,55,27,1.32,3.42,1.44,1.81,1.65
2045143,114,18,1,15,27,1,0.0,1.0,0.04,0.0,0.36
1980729,461,21,20,30,41,5,0.85,0.43,0.05,2.0,0.44
661598,816,48,16,33,96,8,1.19,2.24,1.25,1.88,1.49
1204862,655,18,28,3,35,14,0.75,3.0,0.09,0.71,0.54
1145269,569,27,13,14,57,2,2.54,2.07,0.05,12.0,1.03
171926,507,19,28,3,21,7,1.0,1.0,0.1,1.43,0.73
291823,1138,37,5,5,25,3,11.4,17.4,4.96,18.67,8.53
4637982,82,10,2,19,36,1,1.0,0.05,0.06,0.0,0.09
3889922,30,9,9,7,10,1,0.22,-0.14,0.0,0.0,0.04
747180,165,24,3,14,22,2,0.67,1.5,0.05,0.5,0.61
104750,2551,60,47,10,97,11,4.21,2.0,0.98,14.09,2.84
848292,2013,116,38,72,342,14,1.55,3.43,0.3,0.86,0.9
973387,53,6,1,7,6,1,0.0,1.43,0.0,0.0,0.67
558065,161,10,16,2,12,4,0.56,0.0,0.17,0.5,0.38
2785090,82,14,7,28,61,1,0.29,-0.0,0.02,0.0,0.03
876416,906,29,2,6,19,1,0.0,25.17,0.58,0.0,5.79
5957834,563,17,16,2,11,4,0.5,1.5,0.09,0.5,0.42
279633,101,2,1,1,1,1,0.0,0.0,0.0,0.0,0.0
2552994,30,12,1,10,26,1,0.0,0.4,0.46,0.0,0.42
1415516,1132,11,2,1,1,1,55.0,-1.0,0.0,0.0,21.8
2486083,588,23,20,18,24,2,1.25,1.22,0.13,0.0,0.78
206534,2455,38,15,2,20,7,13.47,16.0,0.9,25.0,9.7
1379760,653,28,2,19,19,1,0.0,6.42,0.05,0.0,3.0
1085595,115,7,2,5,4,1,3.0,2.0,0.0,0.0,1.33
1090555,274,15,1,5,2,1,0.0,10.0,0.0,0.0,5.56
7887534,186,6,22,1,1,1,0.45,0.0,0.0,1.0,0.44
14742,56226,22,5,1,1,1,1098.4,0.0,0.0,5276.0,1346.0
2294034,425,11,6,1,1,1,4.33,0.0,0.0,0.0,2.89
115146,351,18,3,4,11,1,4.67,4.5,0.73,6.0,2.42
1263771,1953,60,22,73,76,4,4.18,1.84,0.18,4.75,1.48
286888,881,43,18,20,42,1,0.94,5.3,0.05,0.0,1.54
228837,216,13,5,2,5,1,2.6,7.5,0.4,0.0,2.31
5635173,296,15,22,5,10,6,0.77,0.4,0.2,1.67,0.72
3052928,23,7,2,7,10,1,0.0,0.29,0.0,0.0,0.1
675377,115,15,4,20,23,1,0.75,0.45,0.0,0.0,0.25
3164662,51,12,1,6,36,1,0.0,1.17,0.0,0.0,0.16
7980430,40,10,1,4,16,1,0.0,1.75,0.0,0.0,0.32
1401891,37,6,1,3,4,1,0.0,2.0,0.25,0.0,0.78
1806940,97,6,1,3,1,1,5.0,2.67,0.0,0.0,2.17
63580,1213,44,25,21,61,14,2.32,3.29,1.18,3.21,2.02
2446350,207,8,15,1,6,4,0.8,0.0,0.33,2.0,0.85
849658,60,13,1,4,8,1,0.0,2.25,0.13,0.0,0.71
1398797,2226,51,66,3,138,23,2.61,1.67,0.32,5.26,1.49
2558184,130,8,2,3,13,2,2.0,2.67,0.54,2.0,1.15
5365534,644,30,22,11,42,7,1.82,0.91,0.0,3.14,0.88
2631756,63,9,2,2,4,1,1.0,2.0,0.25,1.0,0.89
1745777,78,8,3,11,22,1,0.67,0.73,0.0,0.0,0.27
3016631,154,16,10,8,46,1,0.3,1.5,0.02,1.0,0.26
461665,76,9,1,6,8,1,1.0,1.67,0.0,0.0,0.69
6907214,1815,21,83,2,159,34,1.29,1.0,0.36,2.0,0.85
6728482,73,9,2,22,95,1,0.0,0.18,0.07,0.0,0.09
1976979,268,16,22,6,31,2,0.41,3.67,0.0,0.5,0.52
131074,173,7,2,4,1,1,4.0,2.75,0.0,1.0,2.5
5944556,137,6,2,5,8,1,0.0,1.2,0.13,0.0,0.44
2746752,582,26,17,14,40,8,1.88,1.21,0.1,3.38,1.01
1819344,312,16,3,13,16,2,2.0,1.46,0.06,2.5,0.91
2053814,373,9,17,1,22,4,1.29,0.0,0.23,1.5,0.75
6303679,53,9,1,8,12,1,0.0,1.0,0.17,0.0,0.45
5445850,96,7,9,3,11,3,0.44,-0.33,0.18,0.0,0.19
905129,1136,24,78,4,29,22,1.12,0.75,0.1,2.64,1.14
986714,51,2,1,1,1,1,5.0,0.0,0.0,0.0,1.25
4964600,97,15,1,19,47,1,0.0,0.42,0.02,0.0,0.13
984029,2563,43,62,4,291,31,1.71,2.75,0.2,2.61,0.66
1619792,145,12,21,5,88,3,0.24,0.4,0.06,0.33,0.11
1351097,61,4,5,1,2,2,0.6,0.0,0.0,1.0,0.5
6156266,126,5,16,1,20,3,0.19,0.0,0.05,0.67,0.15
5309761,135,13,1,42,45,1,0.0,-0.0,0.02,0.0,0.01
2458892,757,37,14,22,85,1,2.64,1.05,0.32,0.0,0.71
246185,166,10,7,1,1,1,1.86,4.0,0.0,11.0,2.8
90172,1211,48,31,1,40,18,2.29,0.0,0.18,3.44,1.56
3193265,758,46,2,56,53,1,0.0,2.27,0.06,0.0,1.16
9861046,147,6,13,1,10,4,0.46,0.0,0.0,0.25,0.25
2539616,789,20,50,2,285,15,0.58,-0.5,0.18,0.93,0.27
486582,108,5,4,1,3,1,2.25,0.0,0.0,1.0,1.11
1845986,66,3,3,1,1,1,1.33,2.0,0.0,0.0,1.0
3899023,112,11,3,9,14,1,2.33,0.67,0.0,1.0,0.52
528792,995,36,12,16,31,6,3.92,3.81,1.52,7.5,3.08
6620557,580,16,28,5,53,13,0.68,0.6,0.08,0.77,0.36
1048872,1496,35,17,8,12,3,7.24,2.5,0.08,0.33,3.63
76987,3275,22,13,1,2,3,38.46,0.0,3.5,8.33,28.0
1061874,198,7,1,1,2,1,19.0,1.0,0.0,0.0,4.0
4762738,1221,30,63,4,241,23,0.87,1.25,0.26,1.35,0.46
9149625,32,7,1,8,24,1,0.0,0.0,0.0,0.0,0.0
592832,1054,63,18,49,60,10,2.28,1.8,0.17,3.1,1.24
1662343,138,7,1,1,2,1,0.0,27.0,2.0,0.0,6.2
2870477,1018,29,38,1,14,5,1.95,0.0,0.14,7.0,1.91
234038,846,32,19,3,38,8,3.05,2.67,1.63,6.13,2.6
4675055,5039,41,367,4,389,104,0.76,2.25,0.13,1.41,0.56
3544977,30,4,1,2,1,1,0.0,0.5,0.0,0.0,0.2
9155862,18,7,1,7,10,1,0.0,0.0,0.0,0.0,0.0
4439393,23,6,1,5,4,1,0.0,0.4,0.0,0.0,0.18
464915,444,32,1,34,44,1,3.0,2.03,0.02,0.0,0.91
456605,161,19,8,12,31,1,0.38,1.75,0.03,0.0,0.48
4104145,483,37,24,43,93,6,0.67,1.09,0.12,1.67,0.51
2512642,389,5,1,1,1,1,36.0,0.0,0.0,0.0,9.0
1153007,519,17,16,3,41,7,1.88,1.0,0.12,2.57,0.84
931674,341,7,6,1,1,2,3.33,0.0,0.0,10.0,4.0
3287568,391,13,20,1,19,10,1.2,0.0,0.37,1.8,0.98
10737,461,16,1,2,5,1,11.0,34.5,0.4,0.0,9.11
2295407,18,4,1,5,2,1,0.0,0.4,0.0,0.0,0.22
634197,374,8,10,1,8,5,1.9,0.0,0.25,1.8,1.25
5218168,374,27,6,4,20,2,4.17,0.25,0.0,1.0,0.87
4319284,71,12,5,11,12,2,0.4,0.45,0.08,0.0,0.27
2284713,667,27,14,1,37,1,3.5,15.0,0.7,36.0,2.38
3057146,1969,18,7,1,9,1,26.29,0.0,0.89,0.0,10.67
7269418,194,9,13,2,15,1,0.54,0.5,0.2,1.0,0.39
760894,23,7,1,2,5,1,0.0,1.5,0.0,0.0,0.33
1800681,103,10,3,1,5,1,1.0,14.0,0.0,0.0,1.7
434574,397,26,7,15,24,2,1.43,3.8,0.17,5.0,1.69
692155,349,21,1,7,22,1,0.0,9.57,0.0,0.0,2.16
2302003,30,19,1,9,21,1,0.0,0.22,0.05,0.0,0.09
1413778,643,18,1,4,3,1,0.0,33.5,0.67,0.0,15.11
7487027,32,5,2,2,8,1,0.5,0.5,0.0,0.0,0.15
35559,660,32,15,14,13,2,1.53,4.0,0.23,4.5,2.07
154510,8808,254,23,148,189,17,2.39,10.42,0.17,2.71,4.45
179166,883,52,8,16,55,7,1.75,7.31,0.31,2.0,1.88
1146483,104,8,11,5,12,2,0.45,1.2,0.25,0.5,0.5
6269836,140,11,28,4,35,1,0.29,0.0,0.06,0.0,0.15
3454501,671,26,54,6,49,14,0.54,2.67,0.06,0.71,0.47
2148090,501,44,12,60,74,5,0.75,1.53,0.03,0.8,0.71
1193616,29,6,1,4,9,1,0.0,1.0,0.0,0.0,0.27
2546169,67,10,2,3,4,1,1.5,1.33,0.0,3.0,1.0
3263578,2629,20,24,5,7,1,10.71,0.0,0.43,1.0,7.05
4178657,166,7,6,1,5,1,2.67,1.0,0.0,0.0,1.31
5960116,137,10,3,42,39,2,0.0,0.4,0.1,0.0,0.24
4321555,545,22,7,1,7,1,5.71,0.0,0.57,0.0,2.75
717952,126,14,1,15,12,1,0.0,1.47,0.0,0.0,0.76
6628404,969,22,76,7,334,32,0.53,0.71,0.03,0.78,0.18
2871320,63,19,1,10,13,1,0.0,1.0,0.0,0.0,0.4
3855699,17,8,1,4,15,1,0.0,0.5,0.0,0.0,0.1
142249,1813,29,10,1,15,2,15.1,0.0,1.33,5.5,6.5
3054825,163,19,5,23,38,2,0.6,0.7,0.11,0.0,0.34
1229845,3438,32,169,1,224,74,1.21,2.0,0.17,1.89,0.82
7292819,1190,39,51,2,198,22,0.9,0.5,0.23,1.0,0.42
302935,142,17,1,8,15,1,0.0,3.13,0.2,0.0,1.12
1135819,12273,110,134,34,347,53,7.19,6.88,0.45,12.06,3.51
1537788,17,6,1,4,17,1,0.0,0.25,0.0,0.0,0.04
3865594,243,9,15,2,16,9,0.6,0.5,0.19,0.67,0.45
1044281,439,27,1,34,24,1,0.0,1.74,0.0,0.0,0.98
4589608,322,16,4,17,49,1,2.0,0.71,0.0,0.0,0.28
3975231,59,14,1,15,23,1,0.0,0.07,0.09,0.0,0.08
7940129,534,17,44,19,23,3,0.27,0.21,0.09,0.33,0.21
3777612,86,2,9,1,2,1,0.78,0.0,0.0,1.0,0.62
1144612,24,11,1,10,16,1,0.0,0.0,0.0,0.0,0.0
410677,6267,91,323,46,612,97,1.06,3.83,0.15,1.64,0.71
213348,443,26,3,12,29,1,2.0,4.83,0.24,0.0,1.58
3746376,61,10,1,12,18,1,0.0,0.92,0.11,0.0,0.41
1440131,19,8,1,9,15,1,0.0,-0.22,0.0,0.0,-0.08
1995161,55,7,7,12,34,1,0.0,-0.08,0.0,0.0,-0.02
326905,481,28,14,20,22,7,0.79,2.3,0.09,0.14,0.95
2417624,191,21,13,118,412,7,0.15,0.32,0.02,0.43,0.1
5365697,1191,24,4,3,11,1,26.25,1.33,0.18,0.0,5.84
336052,63,11,2,3,12,2,2.0,1.33,0.0,2.0,0.63
1036286,309,20,2,11,20,2,0.0,4.64,0.0,0.0,1.46
459184,1964,100,8,50,122,2,2.75,5.74,0.03,0.0,1.72
5212418,3006,47,377,25,1479,83,0.37,0.48,0.03,0.82,0.14
4563555,94,9,2,8,23,1,1.0,0.37,0.04,0.0,0.18
5420801,358,10,12,5,24,2,1.5,-0.6,0.13,1.5,0.49
1652623,341,19,6,25,46,4,1.17,0.84,0.0,1.75,0.43
3226440,156,22,1,41,87,1,0.0,0.59,0.01,0.0,0.19
218161,902,30,21,4,30,7,2.95,1.0,2.27,2.57,2.45
30997,7522,137,204,89,155,36,1.93,4.72,0.28,3.92,2.06
449853,5861,55,193,2,278,76,2.4,4.5,0.56,4.03,1.7
5375915,56,8,1,6,3,1,0.0,1.33,0.0,0.0,0.73
3627298,130,15,9,5,17,1,0.56,2.6,0.06,0.0,0.59
4915986,15,7,1,5,4,1,1.0,0.0,0.5,0.0,0.27
2411292,334,25,9,25,41,5,1.11,0.76,0.1,1.2,0.49
1050779,67,10,1,5,9,1,1.0,1.2,0.11,0.0,0.5
4987936,14,5,1,3,8,1,1.0,0.0,0.0,1.0,0.15
1084282,670,10,27,1,4,10,1.37,2.0,0.5,0.7,1.14
6254878,18,4,1,2,1,1,0.0,1.5,0.0,0.0,0.6
3035746,1790,37,24,1,68,3,6.17,0.0,0.28,3.67,1.85
8383366,35,7,2,3,1,1,1.0,0.33,0.0,0.0,0.43
2024621,115,9,1,9,7,1,0.0,2.44,0.14,0.0,1.28
6244038,501,17,11,6,17,2,3.27,0.83,0.06,1.0,1.22
2182882,20,8,3,5,7,1,0.0,0.6,0.0,0.0,0.19
2994135,150,23,1,25,44,1,0.0,0.68,0.07,0.0,0.28
2962487,607,25,38,1,63,9,0.79,1.0,0.29,1.11,0.53
3951427,9,6,1,6,25,1,0.0,-0.17,0.0,0.0,-0.03
227108,84,10,2,5,11,1,1.5,1.6,0.09,1.0,0.68
707636,4816,75,45,25,205,16,9.29,2.0,0.33,1.56,1.92
46920,755,40,11,26,24,5,0.64,3.62,0.37,0.6,1.71
1530254,343,20,16,19,17,5,0.69,1.42,0.12,1.2,0.81
3720258,1117,46,42,84,152,8,0.69,1.1,0.07,1.13,0.49
3008666,214,18,7,7,8,5,1.86,1.43,0.0,1.6,1.15
219649,146,19,2,15,23,1,1.0,1.4,0.09,0.0,0.61
54215,2195,34,39,7,36,3,4.03,4.0,0.33,2.67,2.41
1149403,109,17,7,35,114,1,0.0,-0.14,0.03,0.0,-0.01
3270841,124,13,16,5,23,1,0.44,0.2,0.0,0.0,0.18
1289775,2869,40,147,22,204,43,1.14,1.68,0.21,1.74,0.77
3778340,365,17,21,4,39,3,0.86,1.25,0.13,0.33,0.43
1370556,1201,54,58,33,105,29,0.74,2.18,0.18,1.0,0.72
1494003,900,35,13,46,165,5,2.69,1.57,0.1,2.0,0.59
949444,247,5,1,1,1,1,6.0,0.0,0.0,6.0,3.0
5177026,89,11,2,8,20,1,1.0,1.25,0.05,0.0,0.42
5039444,693,30,28,12,49,1,1.86,1.08,0.08,0.0,0.77
1670478,673,70,1,128,132,1,0.0,0.84,0.01,0.0,0.41
1142457,107,11,7,6,17,1,0.29,2.0,0.24,0.0,0.58
4911611,397,7,18,1,63,10,1.28,0.0,0.08,1.6,0.48
1115469,14,11,1,10,16,1,0.0,-0.4,0.0,0.0,-0.14
566258,114,7,2,3,1,1,3.0,3.0,0.0,1.0,2.29
2410994,134,14,7,20,53,2,0.14,0.9,0.08,0.0,0.28
2261831,93,12,2,22,38,1,0.0,0.55,0.05,0.0,0.22
146325,116326,356,3321,1,6242,1284,2.79,0.0,0.51,4.15,1.64
3454444,103,10,1,2,10,1,0.0,9.5,0.4,0.0,1.64
7406574,253,18,56,5,77,17,0.64,0.2,0.21,0.82,0.43
381121,237,27,1,40,78,1,0.0,0.3,0.01,0.0,0.11
4740856,101,10,1,11,29,1,0.0,1.45,0.0,0.0,0.38
1140105,136,12,6,11,13,5,0.67,1.55,0.0,0.8,0.71
703880,1439,28,70,1,40,17,1.6,1.0,0.42,3.18,1.44
3584846,63,12,9,10,17,2,0.33,-0.1,0.0,2.0,0.16
6161335,40,13,5,6,25,1,0.4,0.33,0.04,0.0,0.14
4055307,15,7,1,4,2,1,0.0,0.5,0.0,0.0,0.25
38055,34710,507,768,400,1793,241,3.14,4.76,0.28,4.46,1.84
5724081,104,13,11,4,14,1,0.0,1.75,0.29,0.0,0.37
7636697,403,15,15,5,59,6,1.27,0.6,0.1,1.67,0.45
4294537,204,18,2,10,24,1,0.0,1.2,0.08,0.0,0.38
2107411,433,14,17,12,22,5,0.82,1.08,0.18,0.8,0.63
6015268,305,2,1,1,1,1,0.0,0.0,0.0,0.0,0.0
642795,181,19,5,7,20,1,1.8,2.29,0.0,1.0,0.79
8484180,25,5,1,5,3,1,0.0,0.2,0.0,0.0,0.1
1078510,1483,93,34,83,102,17,0.56,2.76,0.19,0.41,1.16
